date,gold_close,gold_source
2016-11-01,1302.5197153877,AlphaVantage:GOLD:daily
2016-11-02,1308.5891233757,AlphaVantage:GOLD:daily
2016-11-03,1311.1931161139,AlphaVantage:GOLD:daily
2016-11-04,1311.5968412372,AlphaVantage:GOLD:daily
2016-11-05,1315.5557894321,AlphaVantage:GOLD:daily
2016-11-06,1309.9635830124,AlphaVantage:GOLD:daily
2016-11-07,1299.6379573851,AlphaVantage:GOLD:daily
2016-11-08,1294.6303198661,AlphaVantage:GOLD:daily
2016-11-09,1297.5918378493,AlphaVantage:GOLD:daily
2016-11-10,1287.745755992,AlphaVantage:GOLD:daily
2016-11-11,1258.1833250524,AlphaVantage:GOLD:daily
2016-11-12,1275.1442506934,AlphaVantage:GOLD:daily
2016-11-13,1275.8356723654,AlphaVantage:GOLD:daily
2016-11-14,1253.0249051411,AlphaVantage:GOLD:daily
2016-11-15,1228.4984563239,AlphaVantage:GOLD:daily
2016-11-16,1224.8731687449,AlphaVantage:GOLD:daily
2016-11-17,1216.2137550877,AlphaVantage:GOLD:daily
2016-11-18,1207.4561925928,AlphaVantage:GOLD:daily
2016-11-19,1207.0297412128,AlphaVantage:GOLD:daily
2016-11-20,1205.8144372163,AlphaVantage:GOLD:daily
2016-11-21,1215.8675627048,AlphaVantage:GOLD:daily
2016-11-22,1213.3626042245,AlphaVantage:GOLD:daily
2016-11-23,1188.8585383081,AlphaVantage:GOLD:daily
2016-11-24,1185.8946594176,AlphaVantage:GOLD:daily
2016-11-25,1184.9210305829,AlphaVantage:GOLD:daily
2016-11-26,1185.9441894664,AlphaVantage:GOLD:daily
2016-11-27,1187.2747888135,AlphaVantage:GOLD:daily
2016-11-28,1193.3810041108,AlphaVantage:GOLD:daily
2016-11-29,1188.9852381127,AlphaVantage:GOLD:daily
2016-11-30,1173.1108863894,AlphaVantage:GOLD:daily
2016-12-01,1173.1413492584,AlphaVantage:GOLD:daily
2016-12-02,1177.1610495549,AlphaVantage:GOLD:daily
2016-12-03,1177.3016246762,AlphaVantage:GOLD:daily
2016-12-04,1182.5363038645,AlphaVantage:GOLD:daily
2016-12-05,1170.960469587,AlphaVantage:GOLD:daily
2016-12-06,1170.7207788282,AlphaVantage:GOLD:daily
2016-12-07,1174.8390284716,AlphaVantage:GOLD:daily
2016-12-08,1171.5889901707,AlphaVantage:GOLD:daily
2016-12-09,1159.7634760019,AlphaVantage:GOLD:daily
2016-12-10,1160.7728425586,AlphaVantage:GOLD:daily
2016-12-11,1159.568176811,AlphaVantage:GOLD:daily
2016-12-12,1162.5580354369,AlphaVantage:GOLD:daily
2016-12-13,1159.1032717756,AlphaVantage:GOLD:daily
2016-12-14,1142.1634940368,AlphaVantage:GOLD:daily
2016-12-15,1127.2060740494,AlphaVantage:GOLD:daily
2016-12-16,1134.8281830747,AlphaVantage:GOLD:daily
2016-12-17,1135.2477394379,AlphaVantage:GOLD:daily
2016-12-18,1136.0538035081,AlphaVantage:GOLD:daily
2016-12-19,1138.733719799,AlphaVantage:GOLD:daily
2016-12-20,1132.0804570841,AlphaVantage:GOLD:daily
2016-12-21,1131.229017196,AlphaVantage:GOLD:daily
2016-12-22,1128.6794168936,AlphaVantage:GOLD:daily
2016-12-23,1133.6125429856,AlphaVantage:GOLD:daily
2016-12-24,1133.8639816768,AlphaVantage:GOLD:daily
2016-12-25,1133.8639816768,AlphaVantage:GOLD:daily
2016-12-26,1133.5784230677,AlphaVantage:GOLD:daily
2016-12-27,1139.0521603063,AlphaVantage:GOLD:daily
2016-12-28,1142.3878257855,AlphaVantage:GOLD:daily
2016-12-29,1159.5103979331,AlphaVantage:GOLD:daily
2016-12-30,1151.9663895261,AlphaVantage:GOLD:daily
2016-12-31,1152.219751351,AlphaVantage:GOLD:daily
2017-01-01,1151.9874663764,AlphaVantage:GOLD:daily
2017-01-02,1150.5096757864,AlphaVantage:GOLD:daily
2017-01-03,1157.8242640316,AlphaVantage:GOLD:daily
2017-01-04,1164.61001894,AlphaVantage:GOLD:daily
2017-01-05,1180.6665253237,AlphaVantage:GOLD:daily
2017-01-06,1172.4894272965,AlphaVantage:GOLD:daily
2017-01-07,1172.3741749417,AlphaVantage:GOLD:daily
2017-01-08,1173.8329166226,AlphaVantage:GOLD:daily
2017-01-09,1181.9421221479,AlphaVantage:GOLD:daily
2017-01-10,1186.6778817623,AlphaVantage:GOLD:daily
2017-01-11,1192.8399082197,AlphaVantage:GOLD:daily
2017-01-12,1196.0157760973,AlphaVantage:GOLD:daily
2017-01-13,1197.4563795732,AlphaVantage:GOLD:daily
2017-01-14,1197.55459352,AlphaVantage:GOLD:daily
2017-01-15,1203.4490850778,AlphaVantage:GOLD:daily
2017-01-16,1203.1650868097,AlphaVantage:GOLD:daily
2017-01-17,1215.6096703382,AlphaVantage:GOLD:daily
2017-01-18,1202.6929590641,AlphaVantage:GOLD:daily
2017-01-19,1203.9437160474,AlphaVantage:GOLD:daily
2017-01-20,1209.7667292939,AlphaVantage:GOLD:daily
2017-01-21,1209.8701204426,AlphaVantage:GOLD:daily
