date,trend_tariff,trend_inflation,trend_war
2016-11-01,,,
2016-11-02,,,
2016-11-03,,,
2016-11-04,,,
2016-11-05,3.5249999999999995,14.0,26.0
2016-11-06,3.5249999999999995,14.0,26.0
2016-11-07,3.5249999999999995,14.0,26.0
2016-11-08,3.5249999999999995,14.0,26.0
2016-11-09,3.5249999999999995,14.0,26.0
2016-11-10,3.5249999999999995,14.0,26.0
2016-11-11,3.5249999999999995,14.0,26.0
2016-11-12,3.896052631578947,13.8,26.0
2016-11-13,3.896052631578947,13.8,26.0
2016-11-14,3.896052631578947,13.8,26.0
2016-11-15,3.896052631578947,13.8,26.0
2016-11-16,3.896052631578947,13.8,26.0
2016-11-17,3.896052631578947,13.8,26.0
2016-11-18,3.896052631578947,13.8,26.0
2016-11-19,4.2671052631578945,15.6,26.0
2016-11-20,4.2671052631578945,15.6,26.0
2016-11-21,4.2671052631578945,15.6,26.0
2016-11-22,4.2671052631578945,15.6,26.0
2016-11-23,4.2671052631578945,15.6,26.0
2016-11-24,4.2671052631578945,15.6,26.0
2016-11-25,4.2671052631578945,15.6,26.0
2016-11-26,2.226315789473684,11.4,24.0
2016-11-27,2.226315789473684,11.4,24.0
2016-11-28,2.226315789473684,11.4,24.0
2016-11-29,2.226315789473684,11.4,24.0
2016-11-30,2.226315789473684,11.4,24.0
2016-12-01,2.226315789473684,11.4,24.0
2016-12-02,2.226315789473684,11.4,24.0
2016-12-03,3.896052631578947,15.6,27.0
2016-12-04,3.896052631578947,15.6,27.0
2016-12-05,3.896052631578947,15.6,27.0
2016-12-06,3.896052631578947,15.6,27.0
2016-12-07,3.896052631578947,15.6,27.0
2016-12-08,3.896052631578947,15.6,27.0
2016-12-09,3.896052631578947,15.6,27.0
2016-12-10,4.452631578947368,17.0,29.0
2016-12-11,4.452631578947368,17.0,29.0
2016-12-12,4.452631578947368,17.0,29.0
2016-12-13,4.452631578947368,17.0,29.0
2016-12-14,4.452631578947368,17.0,29.0
2016-12-15,4.452631578947368,17.0,29.0
2016-12-16,4.452631578947368,17.0,29.0
2016-12-17,3.896052631578947,15.6,28.0
2016-12-18,3.896052631578947,15.6,28.0
2016-12-19,3.896052631578947,15.6,28.0
2016-12-20,3.896052631578947,15.6,28.0
2016-12-21,3.896052631578947,15.6,28.0
2016-12-22,3.896052631578947,15.6,28.0
2016-12-23,3.896052631578947,15.6,28.0
2016-12-24,2.5973684210526313,10.6,22.0
2016-12-25,2.5973684210526313,10.6,22.0
2016-12-26,2.5973684210526313,10.6,22.0
2016-12-27,2.5973684210526313,10.6,22.0
2016-12-28,2.5973684210526313,10.6,22.0
2016-12-29,2.5973684210526313,10.6,22.0
2016-12-30,2.5973684210526313,10.6,22.0
2016-12-31,1.113157894736842,8.4,22.0
2017-01-01,1.113157894736842,8.4,22.0
2017-01-02,1.113157894736842,8.4,22.0
2017-01-03,1.113157894736842,8.4,22.0
2017-01-04,1.113157894736842,8.4,22.0
2017-01-05,1.113157894736842,8.4,22.0
2017-01-06,1.113157894736842,8.4,22.0
2017-01-07,2.411842105263158,10.2,23.0
2017-01-08,2.411842105263158,10.2,23.0
2017-01-09,2.411842105263158,10.2,23.0
2017-01-10,2.411842105263158,10.2,23.0
2017-01-11,2.411842105263158,10.2,23.0
2017-01-12,2.411842105263158,10.2,23.0
2017-01-13,2.411842105263158,10.2,23.0
2017-01-14,3.5249999999999995,12.0,26.0
2017-01-15,3.5249999999999995,12.0,26.0
2017-01-16,3.5249999999999995,12.0,26.0
2017-01-17,3.5249999999999995,12.0,26.0
2017-01-18,3.5249999999999995,12.0,26.0
2017-01-19,3.5249999999999995,12.0,26.0
2017-01-20,3.5249999999999995,12.0,26.0
2017-01-21,3.5249999999999995,13.2,25.0
2017-01-22,3.5249999999999995,13.2,25.0
2017-01-23,3.5249999999999995,13.2,25.0
2017-01-24,3.5249999999999995,13.2,25.0
2017-01-25,3.5249999999999995,13.2,25.0
2017-01-26,3.5249999999999995,13.2,25.0
2017-01-27,3.5249999999999995,13.2,25.0
2017-01-28,5.936842105263157,13.8,26.0
2017-01-29,5.936842105263157,13.8,26.0
2017-01-30,5.936842105263157,13.8,26.0
2017-01-31,5.936842105263157,13.8,26.0
2017-02-01,5.936842105263157,13.8,26.0
2017-02-02,5.936842105263157,13.8,26.0
2017-02-03,5.936842105263157,13.8,26.0
2017-02-04,4.452631578947368,14.0,27.0
2017-02-05,4.452631578947368,14.0,27.0
2017-02-06,4.452631578947368,14.0,27.0
2017-02-07,4.452631578947368,14.0,27.0
2017-02-08,4.452631578947368,14.0,27.0
2017-02-09,4.452631578947368,14.0,27.0
2017-02-10,4.452631578947368,14.0,27.0
2017-02-11,3.710526315789473,14.6,27.0
2017-02-12,3.710526315789473,14.6,27.0
2017-02-13,3.710526315789473,14.6,27.0
2017-02-14,3.710526315789473,14.6,27.0
2017-02-15,3.710526315789473,14.6,27.0
2017-02-16,3.710526315789473,14.6,27.0
2017-02-17,3.710526315789473,14.6,27.0
2017-02-18,3.710526315789473,15.4,25.0
2017-02-19,3.710526315789473,15.4,25.0
2017-02-20,3.710526315789473,15.4,25.0
2017-02-21,3.710526315789473,15.4,25.0
