feature_name,mean_abs_shap,mean_shap,feature_value_mean_holdout,feature_value_std_holdout
vix_ma_5d_lag1,0.00012754545121182136,-0.00012754545121182136,16.45272972972973,1.5560980158917013
p_taco_top1,9.55133376202763e-05,-8.123649524832883e-05,0.048287709514947735,0.03512516690327125
vix_change_5d_lag1,8.407127562842816e-05,6.838939295566364e-05,0.13594594594594608,2.2200218643426104
p_taco_any_decay_2d,6.445196781246282e-05,3.275512997608574e-05,0.1464674517488306,0.11358307682390383
spx_ret_1d_lag1,4.183455298418939e-05,2.5412838474776772e-05,0.0011199248381337065,0.006407715902875681
gold_spx_corr_20d_lag1,3.4633461055165914e-05,-8.897860280228542e-06,0.06650693519213147,0.20834423111405703
dxy_ret_1d_lag1,3.199301521226628e-05,2.1329190202080254e-05,5.820782588675383e-05,0.002503424870512165
real_yield_change_5d_lag1,2.9045054634110313e-05,8.439502381321418e-07,-0.021891891891891876,0.06360086000769204
spx_drawdown_5d_lag1,2.7994612824657065e-05,-2.2357927178084488e-05,-0.00259080799492414,0.0054438182935441885
p_taco_any,7.822640401400557e-06,8.168623157858626e-08,0.0993611603292551,0.10391589408046024
p_taco_tail_010,5.074233275666605e-06,-5.074233275666605e-06,0.002519176941006873,0.01911008644599782
