strategy_key,strategy_label,source_tag,tau,cost_bps,n_obs,traded_days,entry_count,turnover,gross_cumulative_return,net_cumulative_return,gross_annualized_sharpe,net_annualized_sharpe,gross_max_drawdown,net_max_drawdown,hit_rate_on_traded_days,avg_pred_on_traded_days
two_stage_final,two-stage final,mainline::two_stage_final,0.0005,0.0,74,36,21,42.0,0.18723829788215096,0.18723829788215096,4.5949098942962925,4.5949098942962925,-0.027422259733915322,-0.027422259733915322,0.6388888888888888,0.0006321028288214444
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.0005,0.0,74,37,16,32.0,0.22156182493515097,0.22156182493515097,6.090263750278953,6.090263750278953,-0.019202948594251534,-0.019202948594251534,0.7027027027027027,0.0007350951902797946
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.0005,0.0,74,54,17,33.0,0.1525309619117079,0.1525309619117079,2.3052592803206204,2.3052592803206204,-0.10779324229250475,-0.10779324229250475,0.6481481481481481,0.0007163081642676314
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.0005,0.0,74,49,9,18.0,0.32437600755623364,0.32437600755623364,7.620975128565579,7.620975128565579,-0.015187070194870755,-0.015187070194870755,0.7142857142857143,0.0005866081690969653
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.0005,0.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.0005,5.0,74,36,21,42.0,0.18723829788215096,0.1625662567493673,4.5949098942962925,4.017462118119727,-0.027422259733915322,-0.029850667310314494,0.6388888888888888,0.0006321028288214444
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.0005,5.0,74,37,16,32.0,0.22156182493515097,0.20217236505527336,6.090263750278953,5.585087856676893,-0.019202948594251534,-0.02116258241003588,0.7027027027027027,0.0007350951902797946
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.0005,5.0,74,54,17,33.0,0.1525309619117079,0.13367022997951938,2.3052592803206204,2.0305302614519105,-0.10779324229250475,-0.10913054919814158,0.6481481481481481,0.0007163081642676314
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.0005,5.0,74,49,9,18.0,0.32437600755623364,0.31251010016624936,7.620975128565579,7.381962225249413,-0.015187070194870755,-0.015187070194870866,0.7142857142857143,0.0005866081690969653
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.0005,5.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
