strategy_key,strategy_label,source_tag,tau,cost_bps,n_obs,traded_days,entry_count,turnover,gross_cumulative_return,net_cumulative_return,gross_annualized_sharpe,net_annualized_sharpe,gross_max_drawdown,net_max_drawdown,hit_rate_on_traded_days,avg_pred_on_traded_days
two_stage_final,two-stage final,mainline::two_stage_final,0.0,0.0,74,69,4,8.0,0.3178756189195977,0.3178756189195977,5.816200642851317,5.816200642851317,-0.04315236685029866,-0.04315236685029866,0.6521739130434783,0.000502594346495442
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.0,0.0,74,62,10,20.0,0.2616852816813475,0.2616852816813475,5.077054359088836,5.077054359088836,-0.03770700978980801,-0.03770700978980801,0.6290322580645161,0.0005782031637025437
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.0,0.0,74,73,2,3.0,0.21340113816083695,0.21340113816083695,2.898706382670702,2.898706382670702,-0.08015653721769744,-0.08015653721769744,0.6301369863013698,0.0006233280473837083
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.0,0.0,74,74,1,1.0,0.22664181129720418,0.22664181129720418,3.055364229010956,3.055364229010956,-0.08015653721769733,-0.08015653721769733,0.6351351351351351,0.0005113707062679041
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.0,0.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.0,5.0,74,69,4,8.0,0.3178756189195977,0.31261464540557693,5.816200642851317,5.717111231104598,-0.04315236685029866,-0.04315236685029866,0.6521739130434783,0.000502594346495442
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.0,5.0,74,62,10,20.0,0.2616852816813475,0.24913130337239053,5.077054359088836,4.850474689925908,-0.03770700978980801,-0.04250646610121711,0.6290322580645161,0.0005782031637025437
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.0,5.0,74,73,2,3.0,0.21340113816083695,0.21158240084759394,2.898706382670702,2.8761531051245814,-0.08015653721769744,-0.08015653721769744,0.6301369863013698,0.0006233280473837083
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.0,5.0,74,74,1,1.0,0.22664181129720418,0.2260286436962302,3.055364229010956,3.046964455622658,-0.08015653721769733,-0.08015653721769744,0.6351351351351351,0.0005113707062679041
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.0,5.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.00025,0.0,74,64,8,16.0,0.3192117514664716,0.3192117514664716,5.899472783962013,5.899472783962013,-0.03671645236125798,-0.03671645236125798,0.65625,0.0005317013096063234
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.00025,0.0,74,56,13,26.0,0.24256599259034362,0.24256599259034362,4.885656143844299,4.885656143844299,-0.03671645236125809,-0.03671645236125809,0.6607142857142857,0.0006269153270199411
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.00025,0.0,74,70,5,9.0,0.19908892415036283,0.19908892415036283,2.75334804160798,2.75334804160798,-0.08015653721769744,-0.08015653721769744,0.6428571428571429,0.0006448514458184501
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.00025,0.0,74,70,4,7.0,0.2446939363074352,0.2446939363074352,3.304681504823852,3.304681504823852,-0.08015653721769733,-0.08015653721769733,0.6571428571428571,0.0005309239659183115
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.00025,0.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.00025,5.0,74,64,8,16.0,0.3192117514664716,0.3087001598828365,5.899472783962013,5.712880973595775,-0.03671645236125798,-0.03767925442763009,0.65625,0.0005317013096063234
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.00025,5.0,74,56,13,26.0,0.24256599259034362,0.22651717800166438,4.885656143844299,4.576101307957062,-0.03671645236125809,-0.04121281980546054,0.6607142857142857,0.0006269153270199411
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.00025,5.0,74,70,5,9.0,0.19908892415036283,0.1937051465763493,2.75334804160798,2.685731064973775,-0.08015653721769744,-0.0806163439878167,0.6428571428571429,0.0006448514458184501
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.00025,5.0,74,70,4,7.0,0.2446939363074352,0.24034512239412087,3.304681504823852,3.248123817857827,-0.08015653721769733,-0.08015653721769744,0.6571428571428571,0.0005309239659183115
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.00025,5.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.0005,0.0,74,36,21,42.0,0.18723829788215096,0.18723829788215096,4.5949098942962925,4.5949098942962925,-0.027422259733915322,-0.027422259733915322,0.6388888888888888,0.0006321028288214444
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.0005,0.0,74,37,16,32.0,0.22156182493515097,0.22156182493515097,6.090263750278953,6.090263750278953,-0.019202948594251534,-0.019202948594251534,0.7027027027027027,0.0007350951902797946
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.0005,0.0,74,54,17,33.0,0.1525309619117079,0.1525309619117079,2.3052592803206204,2.3052592803206204,-0.10779324229250475,-0.10779324229250475,0.6481481481481481,0.0007163081642676314
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.0005,0.0,74,49,9,18.0,0.32437600755623364,0.32437600755623364,7.620975128565579,7.620975128565579,-0.015187070194870755,-0.015187070194870755,0.7142857142857143,0.0005866081690969653
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.0005,0.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.0005,5.0,74,36,21,42.0,0.18723829788215096,0.1625662567493673,4.5949098942962925,4.017462118119727,-0.027422259733915322,-0.029850667310314494,0.6388888888888888,0.0006321028288214444
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.0005,5.0,74,37,16,32.0,0.22156182493515097,0.20217236505527336,6.090263750278953,5.585087856676893,-0.019202948594251534,-0.02116258241003588,0.7027027027027027,0.0007350951902797946
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.0005,5.0,74,54,17,33.0,0.1525309619117079,0.13367022997951938,2.3052592803206204,2.0305302614519105,-0.10779324229250475,-0.10913054919814158,0.6481481481481481,0.0007163081642676314
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.0005,5.0,74,49,9,18.0,0.32437600755623364,0.31251010016624936,7.620975128565579,7.381962225249413,-0.015187070194870755,-0.015187070194870866,0.7142857142857143,0.0005866081690969653
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.0005,5.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.001,0.0,74,1,1,2.0,0.03482790767441424,0.03482790767441424,1.8579706118559975,1.8579706118559975,0.0,0.0,1.0,0.0010373160708109
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.001,0.0,74,4,4,8.0,0.03486338629276409,0.03486338629276409,2.704765333404024,2.704765333404024,-0.0006689241295420034,-0.0006689241295420034,0.75,0.0013963613246557752
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.001,0.0,74,5,4,8.0,-0.06571499606905296,-0.06571499606905296,-1.4685811378760099,-1.4685811378760099,-0.07989021377670102,-0.07989021377670102,0.4,0.0011347396624264803
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.001,0.0,74,1,1,2.0,0.021034691581148568,0.021034691581148568,1.8579706118559975,1.8579706118559975,0.0,0.0,1.0,0.0010560779467461
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.001,0.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
two_stage_final,two-stage final,mainline::two_stage_final,0.001,5.0,74,1,1,2.0,0.03482790767441424,0.03379359700826545,1.8579706118559975,1.8298605811661204,0.0,-0.000499875020830709,1.0,0.0010373160708109
two_stage_final_dense_export_v2,two-stage final dense export v2,dense_export_v2::two_stage_final,0.001,5.0,74,4,4,8.0,0.03486338629276409,0.030732200627170414,2.704765333404024,2.454546185030122,-0.0006689241295420034,-0.002166797057800429,0.75,0.0013963613246557752
single_stage_rf,single-stage RF,mainline::single_stage_rf,0.001,5.0,74,5,4,8.0,-0.06571499606905296,-0.06944467176049429,-1.4685811378760099,-1.5489276988563594,-0.07989021377670102,-0.08126934384989426,0.4,0.0011347396624264803
macro_only_rf,macro_only RF,mainline::macro_only_random_forest,0.001,5.0,74,1,1,2.0,0.021034691581148568,0.020014167236783287,1.8579706118559975,1.8110863237465953,0.0,-0.000499875020830598,1.0,0.0010560779467461
random_walk_zero,random_walk_zero,mainline::random_walk_zero,0.001,5.0,74,0,0,0.0,0.0,0.0,,,0.0,0.0,,
